City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
501,asahikawa,JP,67.21,few clouds,43.7678,142.3703,
502,englehart,CA,55.42,overcast clouds,47.8169,-79.8664,
503,maneadero,MX,67.1,clear sky,31.7167,-116.5667,
506,camacha,PT,66.96,clear sky,33.0833,-16.3333,
507,chardara,KZ,61.97,clear sky,41.2547,67.9692,
510,prince rupert,CA,55.09,light rain,54.3161,-130.3201,
514,okato,NZ,56.43,overcast clouds,-39.2,173.8833,
515,saint-ambroise,CA,52.12,few clouds,48.5501,-71.3324,
519,gannan,CN,63.63,clear sky,47.9147,123.5031,
522,huitzo,MX,59.95,overcast clouds,19.9667,-102.0667,
523,faya,SA,62.71,clear sky,18.3851,42.4509,
525,bar harbor,US,58.23,clear sky,44.3876,-68.2039,
527,brae,GB,55.31,overcast clouds,60.3964,-1.353,
529,lazo,RU,65.68,overcast clouds,43.3817,133.9014,
530,tocopilla,CL,62.04,few clouds,-22.092,-70.1979,
531,algeciras,ES,65.88,broken clouds,36.1333,-5.4505,
532,halifax,CA,66.09,overcast clouds,44.6453,-63.5724,
534,juneau,US,53.83,overcast clouds,58.3019,-134.4197,
537,port hardy,CA,57.2,light intensity shower rain,50.6996,-127.4199,
538,myre,NO,55.35,overcast clouds,69.1036,15.9492,
539,diego de almagro,CL,65.01,clear sky,-26.3667,-70.05,
540,amudat,UG,68.54,scattered clouds,1.95,34.95,
547,bagotville,AU,69.82,overcast clouds,-28.9833,153.4167,
553,taonan,CN,66.16,clear sky,45.3333,122.7833,
554,demirci,TR,56.61,clear sky,39.0461,28.6589,
555,arona,ES,68.83,few clouds,28.0996,-16.681,
560,andenes,NO,55.38,light rain,69.3143,16.1194,
562,neustrelitz,DE,58.71,broken clouds,53.3667,13.0833,
564,trelew,AR,51.04,clear sky,-43.249,-65.3051,
567,viseu,PT,59.86,overcast clouds,40.661,-7.9097,
568,basoko,CD,69.15,overcast clouds,1.2391,23.616,
569,hualmay,PE,61.86,scattered clouds,-11.0964,-77.6139,
573,berberati,CF,67.53,moderate rain,4.2612,15.7922,
577,nykoping,SE,50.29,clear sky,58.753,17.0079,
578,okha,RU,57.0,overcast clouds,53.5739,142.9478,
580,taltal,CL,61.63,clear sky,-25.4,-70.4833,
583,zabaykalsk,RU,50.0,clear sky,49.6333,117.3167,
584,catamayo,EC,63.09,broken clouds,-3.9833,-79.35,
589,dolores,AR,51.1,overcast clouds,-36.3132,-57.6792,
592,beidao,CN,57.88,light rain,34.5686,105.8933,
593,zhezkazgan,KZ,53.82,overcast clouds,47.8043,67.7144,
595,karasjok,NO,50.11,broken clouds,69.4719,25.5112,
597,biu,NG,68.97,broken clouds,10.6129,12.1946,
600,moron,AR,66.97,scattered clouds,-34.6534,-58.6198,
603,armentieres,FR,61.14,scattered clouds,50.6857,2.8821,
606,lakota,CI,68.7,overcast clouds,5.8528,-5.6883,
608,bani walid,LY,64.78,scattered clouds,31.7566,13.9942,
609,lalibela,ET,53.6,few clouds,12.0333,39.0333,
610,lumeje,AO,64.38,scattered clouds,-11.55,20.7833,
612,gazli,UZ,58.14,clear sky,40.1333,63.45,
613,ullubiyaul,RU,55.17,clear sky,42.5969,47.7182,
614,black forest,US,68.94,few clouds,39.0131,-104.7008,
616,lianran,CN,64.94,clear sky,24.9227,102.485,
619,tulu bolo,ET,52.18,few clouds,8.6667,38.2167,
624,barnsley,GB,64.67,overcast clouds,53.55,-1.4833,
629,la rioja,ES,56.05,overcast clouds,42.25,-2.5,
631,vangaindrano,MG,65.86,scattered clouds,-23.35,47.6,
632,porto santo,PT,69.71,clear sky,33.072,-16.3415,
